datetime,forecast
2025-08-27,17793.5390625
2025-08-28,17950.24609375
2025-08-29,17654.37109375
2025-08-30,16693.470703125
2025-08-31,16515.525390625
2025-09-01,17888.640625
2025-09-02,18034.94140625
2025-09-03,17998.802734375
2025-09-04,17907.75390625
2025-09-05,17586.466796875
2025-09-06,16639.1015625
2025-09-07,16482.794921875
2025-09-08,17807.68359375
2025-09-09,18013.60546875
2025-09-10,18030.626953125
2025-09-11,17963.193359375
2025-09-12,17603.48828125
2025-09-13,16678.125
2025-09-14,16509.41015625
2025-09-15,17956.0078125
2025-09-16,18017.41796875
2025-09-17,17979.12890625
2025-09-18,17936.037109375
2025-09-19,17622.419921875
2025-09-20,16659.9921875
2025-09-21,16549.365234375
2025-09-22,17984.255859375
2025-09-23,18026.029296875
2025-09-24,17975.474609375
2025-09-25,17948.86328125
